open_ticket_id,open_ticket_title,open_ticket_priority,open_ticket_sla_class,open_ticket_issue_type,match_rank,matched_ticket_id,matched_ticket_title,matched_issue_type,matched_completed_by,matched_resolution_hours,matched_priority,similarity_score
T20260208.0002,File recovery request,Critical,Service Request,Triage,1,T20260221.0011,File recovery request,IT:Applications,"Miller, Susan",126.0,Medium,1.0
T20260208.0002,File recovery request,Critical,Service Request,Triage,2,T20251228.0007,File recovery request,IT:Applications,"Taylor, Mark",113.0,Medium,1.0
T20260208.0002,File recovery request,Critical,Service Request,Triage,3,T20251215.0004,File recovery request,IT:Change,"Moore, James",68.0,Medium,1.0
T20260208.0002,File recovery request,Critical,Service Request,Triage,4,T20260203.0009,File recovery request,SW:Defect,"Anderson, Scott",141.5,Medium,1.0
T20260208.0002,File recovery request,Critical,Service Request,Triage,5,T20260107.0002,File recovery request,SW:Internal,"Miller, Susan",124.5,Medium,1.0
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,1,T20260204.0006,Software license expired for Adobe Acrobat,IT:Applications,"Moore, James",1.0,Low,1.0
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,2,T20260102.0002,Software license expired for Adobe Acrobat,SW:Defect,"Taylor, Mark",127.0,Low,1.0
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,3,T20260129.0006,Software license expired for Adobe Acrobat,SW:Internal,"Miller, Susan",169.0,Low,1.0
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,4,T20260114.0011,Software license expired for Adobe Acrobat,IT:Hardware,"Moore, James",111.0,Low,1.0
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,5,T20251231.0010,Software license expired for Adobe Acrobat,Triage,"Moore, James",168.5,Low,1.0
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,1,T20251211.0011,MFA not working on mobile device,SW:Change,"Miller, Susan",15.5,High,1.0
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,2,T20260121.0005,MFA not working on mobile device,IT:Change,"Taylor, Mark",18.5,High,1.0
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,3,T20260111.0004,MFA not working on mobile device,Triage,"Anderson, Scott",87.5,High,1.0
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,4,T20260202.0005,MFA not working on mobile device,SW:Support,"Taylor, Mark",89.0,High,1.0
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,5,T20260221.0009,MFA not working on mobile device,IT:Hardware,"Taylor, Mark",214.0,High,1.0
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,1,T20251207.0010,Shared drive access denied,SW:Change,"Moore, James",176.5,Medium,1.0
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,2,T20260302.0006,Shared drive access denied,SW:Internal,"Moore, James",51.0,Medium,1.0
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,3,T20251219.0006,Shared drive access denied,SW:Defect,"Anderson, Scott",144.0,Medium,1.0
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,4,T20260209.0013,Shared drive access denied,SW:Internal,"Taylor, Mark",55.5,Medium,1.0
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,5,T20260117.0006,Shared drive access denied,SW:Internal,"Anderson, Scott",156.0,Medium,1.0
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,1,T20260223.0002,VPN connection drops intermittently,SW:Change,"Moore, James",157.87,Medium,1.0
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,2,T20260204.0007,VPN connection drops intermittently,IT:Change,"Miller, Susan",164.0,High,1.0
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,3,T20260219.0002,VPN connection drops intermittently,SW:Support,"Moore, James",147.0,High,1.0
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,4,T20260221.0006,VPN connection drops intermittently,Triage,"Anderson, Scott",145.0,High,1.0
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,5,T20251212.0006,VPN connection drops intermittently,SW:Support,"Anderson, Scott",39.0,High,1.0
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,1,T20251231.0005,Desk phone not receiving calls,Triage,"Moore, James",207.5,Medium,1.0
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,2,T20260220.0009,Desk phone not receiving calls,SW:Internal,"Anderson, Scott",84.0,Medium,1.0
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,3,T20251221.0006,Desk phone not receiving calls,Triage,"Moore, James",150.0,Medium,1.0
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,4,T20260127.0006,Desk phone not receiving calls,IT:Applications,"Moore, James",113.0,Medium,1.0
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,5,T20260205.0005,Desk phone not receiving calls,IT:Change,"Taylor, Mark",56.0,Medium,1.0
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,1,T20260115.0006,Network printer offline,SW:Internal,"Taylor, Mark",158.0,High,1.0
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,2,T20260302.0003,Network printer offline,SW:Change,"Miller, Susan",235.0,High,1.0
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,3,T20260127.0004,Network printer offline,IT:Applications,"Anderson, Scott",96.0,High,1.0
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,4,T20260101.0007,Network printer offline,SW:Support,"Anderson, Scott",122.5,High,1.0
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,5,T20251213.0005,Network printer offline,IT:Change,"Miller, Susan",48.5,High,1.0
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,1,T20260223.0002,VPN connection drops intermittently,SW:Change,"Moore, James",157.87,Medium,1.0
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,2,T20260204.0007,VPN connection drops intermittently,IT:Change,"Miller, Susan",164.0,High,1.0
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,3,T20260219.0002,VPN connection drops intermittently,SW:Support,"Moore, James",147.0,High,1.0
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,4,T20260221.0006,VPN connection drops intermittently,Triage,"Anderson, Scott",145.0,High,1.0
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,5,T20251212.0006,VPN connection drops intermittently,SW:Support,"Anderson, Scott",39.0,High,1.0
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,1,T20251209.0009,Zoom meeting room setup,SW:Support,"Taylor, Mark",33.5,Low,1.0
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,2,T20260119.0014,Zoom meeting room setup,IT:Change,"Taylor, Mark",57.0,Low,1.0
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,3,T20260124.0006,Zoom meeting room setup,IT:Change,"Anderson, Scott",92.5,Low,1.0
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,4,T20260110.0012,Zoom meeting room setup,SW:Internal,"Moore, James",81.0,Low,1.0
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,5,T20260105.0003,Zoom meeting room setup,Triage,"Anderson, Scott",137.0,Low,1.0
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,1,T20260301.0006,Windows update causing BSOD,IT:Change,"Taylor, Mark",209.5,Critical,1.0
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,2,T20251228.0006,Windows update causing BSOD,IT:Hardware,"Miller, Susan",42.5,Critical,1.0
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,3,T20251222.0005,Windows update causing BSOD,IT:Hardware,"Moore, James",2.0,Critical,1.0
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,4,T20260212.0016,Windows update causing BSOD,SW:Defect,"Moore, James",170.5,Critical,1.0
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,5,T20251230.0011,Windows update causing BSOD,Triage,"Taylor, Mark",30.0,Critical,1.0
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,1,T20260115.0006,Network printer offline,SW:Internal,"Taylor, Mark",158.0,High,1.0
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,2,T20260302.0003,Network printer offline,SW:Change,"Miller, Susan",235.0,High,1.0
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,3,T20260127.0004,Network printer offline,IT:Applications,"Anderson, Scott",96.0,High,1.0
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,4,T20260101.0007,Network printer offline,SW:Support,"Anderson, Scott",122.5,High,1.0
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,5,T20251213.0005,Network printer offline,IT:Change,"Miller, Susan",48.5,High,1.0
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,1,T20260223.0002,VPN connection drops intermittently,SW:Change,"Moore, James",157.87,Medium,1.0
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,2,T20260204.0007,VPN connection drops intermittently,IT:Change,"Miller, Susan",164.0,High,1.0
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,3,T20260219.0002,VPN connection drops intermittently,SW:Support,"Moore, James",147.0,High,1.0
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,4,T20260221.0006,VPN connection drops intermittently,Triage,"Anderson, Scott",145.0,High,1.0
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,5,T20251212.0006,VPN connection drops intermittently,SW:Support,"Anderson, Scott",39.0,High,1.0
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,1,T20260203.0005,Backup job failed overnight,SW:Defect,"Anderson, Scott",16.0,Critical,1.0
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,2,T20260101.0016,Backup job failed overnight,IT:Hardware,"Moore, James",211.0,Critical,1.0
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,3,T20251212.0005,Backup job failed overnight,SW:Internal,"Miller, Susan",102.0,Critical,1.0
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,4,T20260129.0009,Backup job failed overnight,SW:Internal,"Anderson, Scott",51.5,Critical,1.0
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,5,T20251202.0004,Backup job failed overnight,SW:Change,"Taylor, Mark",188.0,Critical,1.0
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,1,T20260203.0005,Backup job failed overnight,SW:Defect,"Anderson, Scott",16.0,Critical,1.0
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,2,T20260101.0016,Backup job failed overnight,IT:Hardware,"Moore, James",211.0,Critical,1.0
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,3,T20251212.0005,Backup job failed overnight,SW:Internal,"Miller, Susan",102.0,Critical,1.0
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,4,T20260129.0009,Backup job failed overnight,SW:Internal,"Anderson, Scott",51.5,Critical,1.0
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,5,T20251202.0004,Backup job failed overnight,SW:Change,"Taylor, Mark",188.0,Critical,1.0
T20260218.0001,New user account creation,Low,Service Request,SW:Change,1,T20251207.0003,New user account creation,SW:Defect,"Moore, James",40.5,Low,1.0
T20260218.0001,New user account creation,Low,Service Request,SW:Change,2,T20251209.0008,New user account creation,SW:Internal,"Miller, Susan",64.0,Low,1.0
T20260218.0001,New user account creation,Low,Service Request,SW:Change,3,T20260120.0007,New user account creation,IT:Change,"Taylor, Mark",88.5,Low,1.0
T20260218.0001,New user account creation,Low,Service Request,SW:Change,4,T20251204.0011,New user account creation,IT:Change,"Moore, James",47.0,Low,1.0
T20260218.0001,New user account creation,Low,Service Request,SW:Change,5,T20260131.0007,New user account creation,Triage,"Moore, James",174.5,Low,1.0
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,1,T20260218.0006,New employee laptop setup,IT:Change,"Taylor, Mark",119.0,Low,1.0
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,2,T20260222.0006,New employee laptop setup,Triage,"Anderson, Scott",11.5,Low,1.0
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,3,T20251223.0007,New employee laptop setup,SW:Defect,"Moore, James",168.5,Low,1.0
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,4,T20251210.0006,New employee laptop setup,SW:Defect,"Anderson, Scott",5.0,Low,1.0
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,5,T20251225.0005,New employee laptop setup,SW:Internal,"Moore, James",87.0,Low,1.0
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,1,T20251204.0021,Teams calls have audio echo,SW:Support,"Taylor, Mark",58.0,Medium,1.0
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,2,T20251205.0015,Teams calls have audio echo,IT:Hardware,"Moore, James",11.5,Medium,1.0
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,3,T20260211.0005,Teams calls have audio echo,SW:Support,"Moore, James",186.0,Medium,1.0
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,4,T20251205.0008,Teams calls have audio echo,IT:Applications,"Miller, Susan",169.5,Medium,1.0
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,5,T20260131.0004,Teams calls have audio echo,SW:Defect,"Anderson, Scott",132.0,Medium,1.0
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,1,T20260204.0006,Software license expired for Adobe Acrobat,IT:Applications,"Moore, James",1.0,Low,1.0
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,2,T20260102.0002,Software license expired for Adobe Acrobat,SW:Defect,"Taylor, Mark",127.0,Low,1.0
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,3,T20260129.0006,Software license expired for Adobe Acrobat,SW:Internal,"Miller, Susan",169.0,Low,1.0
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,4,T20260114.0011,Software license expired for Adobe Acrobat,IT:Hardware,"Moore, James",111.0,Low,1.0
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,5,T20251231.0010,Software license expired for Adobe Acrobat,Triage,"Moore, James",168.5,Low,1.0
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,1,T20260115.0006,Network printer offline,SW:Internal,"Taylor, Mark",158.0,High,1.0
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,2,T20260302.0003,Network printer offline,SW:Change,"Miller, Susan",235.0,High,1.0
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,3,T20260127.0004,Network printer offline,IT:Applications,"Anderson, Scott",96.0,High,1.0
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,4,T20260101.0007,Network printer offline,SW:Support,"Anderson, Scott",122.5,High,1.0
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,5,T20251213.0005,Network printer offline,IT:Change,"Miller, Susan",48.5,High,1.0
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,1,T20251206.0008,Monitor flickering on docking station,SW:Change,"Taylor, Mark",162.0,Medium,1.0
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,2,T20251210.0014,Monitor flickering on docking station,IT:Change,"Taylor, Mark",124.0,Medium,1.0
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,3,T20251212.0004,Monitor flickering on docking station,SW:Change,"Miller, Susan",98.5,Medium,1.0
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,4,T20251208.0004,Monitor flickering on docking station,SW:Support,"Anderson, Scott",60.0,Medium,1.0
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,5,T20260115.0004,Monitor flickering on docking station,IT:Applications,"Moore, James",165.0,Medium,1.0
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,1,T20260119.0001,Email bouncing back to external clients,Triage,"Moore, James",195.0,Critical,1.0
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,2,T20251209.0007,Email bouncing back to external clients,SW:Support,"Anderson, Scott",169.5,Critical,1.0
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,3,T20251226.0005,Email bouncing back to external clients,SW:Support,"Miller, Susan",137.0,Critical,1.0
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,4,T20260114.0007,Email bouncing back to external clients,SW:Internal,"Miller, Susan",29.0,Critical,1.0
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,5,T20251210.0005,Email bouncing back to external clients,IT:Hardware,"Taylor, Mark",100.5,Critical,1.0
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,1,T20251204.0021,Teams calls have audio echo,SW:Support,"Taylor, Mark",58.0,Medium,1.0
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,2,T20251205.0015,Teams calls have audio echo,IT:Hardware,"Moore, James",11.5,Medium,1.0
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,3,T20260211.0005,Teams calls have audio echo,SW:Support,"Moore, James",186.0,Medium,1.0
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,4,T20251205.0008,Teams calls have audio echo,IT:Applications,"Miller, Susan",169.5,Medium,1.0
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,5,T20260131.0004,Teams calls have audio echo,SW:Defect,"Anderson, Scott",132.0,Medium,1.0
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,1,T20260101.0019,Suspicious phishing email reported,IT:Applications,"Anderson, Scott",106.5,High,0.1609
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,2,T20260218.0010,Suspicious phishing email reported,SW:Change,"Moore, James",15.0,High,0.1609
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,3,T20251206.0007,Suspicious phishing email reported,SW:Support,"Miller, Susan",115.5,High,0.1609
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,4,T20251202.0003,Suspicious phishing email reported,Triage,"Taylor, Mark",36.5,High,0.1609
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,5,T20251230.0008,Suspicious phishing email reported,IT:Change,"Moore, James",134.5,High,0.1609
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,1,T20260301.0006,Windows update causing BSOD,IT:Change,"Taylor, Mark",209.5,Critical,1.0
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,2,T20251228.0006,Windows update causing BSOD,IT:Hardware,"Miller, Susan",42.5,Critical,1.0
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,3,T20251222.0005,Windows update causing BSOD,IT:Hardware,"Moore, James",2.0,Critical,1.0
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,4,T20260212.0016,Windows update causing BSOD,SW:Defect,"Moore, James",170.5,Critical,1.0
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,5,T20251230.0011,Windows update causing BSOD,Triage,"Taylor, Mark",30.0,Critical,1.0
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,1,T20260114.0005,Need access to CRM application,SW:Defect,"Miller, Susan",107.5,Low,1.0
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,2,T20251209.0010,Need access to CRM application,SW:Support,"Anderson, Scott",221.5,Low,1.0
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,3,T20260301.0007,Need access to CRM application,IT:Hardware,"Moore, James",233.0,Low,1.0
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,4,T20260123.0003,Need access to CRM application,SW:Internal,"Anderson, Scott",75.0,Low,1.0
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,5,T20260119.0005,Need access to CRM application,Triage,"Moore, James",150.5,Low,1.0
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,1,T20260218.0006,New employee laptop setup,IT:Change,"Taylor, Mark",119.0,Low,1.0
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,2,T20260222.0006,New employee laptop setup,Triage,"Anderson, Scott",11.5,Low,1.0
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,3,T20251223.0007,New employee laptop setup,SW:Defect,"Moore, James",168.5,Low,1.0
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,4,T20251210.0006,New employee laptop setup,SW:Defect,"Anderson, Scott",5.0,Low,1.0
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,5,T20251225.0005,New employee laptop setup,SW:Internal,"Moore, James",87.0,Low,1.0
T20260228.0002,Zoom meeting room setup,Critical,Service Request,SW:Support,1,T20251209.0009,Zoom meeting room setup,SW:Support,"Taylor, Mark",33.5,Low,1.0
T20260228.0002,Zoom meeting room setup,Critical,Service Request,SW:Support,2,T20260119.0014,Zoom meeting room setup,IT:Change,"Taylor, Mark",57.0,Low,1.0
T20260228.0002,Zoom meeting room setup,Critical,Service Request,SW:Support,3,T20260124.0006,Zoom meeting room setup,IT:Change,"Anderson, Scott",92.5,Low,1.0
T20260228.0002,Zoom meeting room setup,Critical,Service Request,SW:Support,4,T20260110.0012,Zoom meeting room setup,SW:Internal,"Moore, James",81.0,Low,1.0
